id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
1626,32,JAWA BARAT,3201,KABUPATEN BOGOR,MINUMAN,39080,UNIT,2022
841,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AGRIBISNIS,54000,UNIT,2019
799,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KULINER,8132,UNIT,2018
376,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINUMAN,11913,UNIT,2017
1558,32,JAWA BARAT,3273,KOTA BANDUNG,JASA,54250,UNIT,2021
466,32,JAWA BARAT,3272,KOTA SUKABUMI,MINUMAN,2959,UNIT,2017
418,32,JAWA BARAT,3215,KABUPATEN KARAWANG,JASA,27373,UNIT,2017
916,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MINUMAN,12891,UNIT,2019
1029,32,JAWA BARAT,3274,KOTA CIREBON,KULINER,4035,UNIT,2019
1471,32,JAWA BARAT,3213,KABUPATEN SUBANG,AGRIBISNIS,25226,UNIT,2021
1341,32,JAWA BARAT,3279,KOTA BANJAR,AGRIBISNIS,3144,UNIT,2020
1422,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AKSESORIS,7203,UNIT,2021
66,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MINUMAN,11464,UNIT,2016
1215,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MAKANAN,14545,UNIT,2020
1745,32,JAWA BARAT,3213,KABUPATEN SUBANG,MAKANAN,29826,UNIT,2022
169,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KULINER,11322,UNIT,2016
955,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MAKANAN,24441,UNIT,2019
705,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MAKANAN,18892,UNIT,2018
711,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AGRIBISNIS,6682,UNIT,2018
1270,32,JAWA BARAT,3271,KOTA BOGOR,OBAT-OBATAN,3974,UNIT,2020
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KERAJINAN,10961,UNIT,2016
885,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MAKANAN,11491,UNIT,2019
765,32,JAWA BARAT,3275,KOTA BEKASI,MAKANAN,33685,UNIT,2018
562,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AKSESORIS,16034,UNIT,2018
1773,32,JAWA BARAT,3216,KABUPATEN BEKASI,FASHION,33896,UNIT,2022
1278,32,JAWA BARAT,3272,KOTA SUKABUMI,JASA,5700,UNIT,2020
2017,32,JAWA BARAT,3213,KABUPATEN SUBANG,KERAJINAN,18902,UNIT,2023
2032,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AKSESORIS,23761,UNIT,2023
1743,32,JAWA BARAT,3213,KABUPATEN SUBANG,FASHION,33769,UNIT,2022
545,32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN,38980,UNIT,2018
34,32,JAWA BARAT,3204,KABUPATEN BANDUNG,INDUSTRI,67264,UNIT,2016
2044,32,JAWA BARAT,3216,KABUPATEN BEKASI,INDUSTRI,51438,UNIT,2023
748,32,JAWA BARAT,3273,KOTA BANDUNG,JASA,41672,UNIT,2018
849,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KULINER,48642,UNIT,2019
1116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MINUMAN,27945,UNIT,2020
1505,32,JAWA BARAT,3216,KABUPATEN BEKASI,MAKANAN,43379,UNIT,2021
1423,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,FASHION,19539,UNIT,2021
107,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KERAJINAN,10995,UNIT,2016
769,32,JAWA BARAT,3275,KOTA BEKASI,KULINER,27655,UNIT,2018
625,32,JAWA BARAT,3209,KABUPATEN CIREBON,MAKANAN,33410,UNIT,2018
1638,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,JASA,41424,UNIT,2022
35,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MAKANAN,54236,UNIT,2016
2048,32,JAWA BARAT,3216,KABUPATEN BEKASI,JASA,42557,UNIT,2023
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,OBAT-OBATAN,2360,UNIT,2016
37,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KERAJINAN,31186,UNIT,2016
1759,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KULINER,9881,UNIT,2022
687,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KERAJINAN,30600,UNIT,2018
1809,32,JAWA BARAT,3271,KOTA BOGOR,KULINER,9281,UNIT,2022
1610,32,JAWA BARAT,3278,KOTA TASIKMALAYA,OBAT-OBATAN,6775,UNIT,2021
1941,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,AGRIBISNIS,22573,UNIT,2023
1886,32,JAWA BARAT,3279,KOTA BANJAR,MINUMAN,3504,UNIT,2022
1078,32,JAWA BARAT,3279,KOTA BANJAR,JASA,2337,UNIT,2019
308,32,JAWA BARAT,3204,KABUPATEN BANDUNG,JASA,44158,UNIT,2017
2118,32,JAWA BARAT,3275,KOTA BEKASI,JASA,34026,UNIT,2023
918,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,JASA,16988,UNIT,2019
1484,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,INDUSTRI,16486,UNIT,2021
1339,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KULINER,13162,UNIT,2020
900,32,JAWA BARAT,3209,KABUPATEN CIREBON,OBAT-OBATAN,12233,UNIT,2019
2096,32,JAWA BARAT,3273,KOTA BANDUNG,MINUMAN,33290,UNIT,2023
531,32,JAWA BARAT,3279,KOTA BANJAR,AGRIBISNIS,3569,UNIT,2017
670,32,JAWA BARAT,3213,KABUPATEN SUBANG,OBAT-OBATAN,11849,UNIT,2018
42,32,JAWA BARAT,3205,KABUPATEN GARUT,AKSESORIS,20671,UNIT,2016
117,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KERAJINAN,22585,UNIT,2016
923,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,FASHION,19585,UNIT,2019
815,32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN,50621,UNIT,2019
1074,32,JAWA BARAT,3279,KOTA BANJAR,INDUSTRI,5152,UNIT,2019
887,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KERAJINAN,9610,UNIT,2019
427,32,JAWA BARAT,3216,KABUPATEN BEKASI,KERAJINAN,30241,UNIT,2017
1312,32,JAWA BARAT,3276,KOTA DEPOK,AKSESORIS,16778,UNIT,2020
80,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,OBAT-OBATAN,3652,UNIT,2016
1507,32,JAWA BARAT,3216,KABUPATEN BEKASI,KERAJINAN,35275,UNIT,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,OBAT-OBATAN,10263,UNIT,2016
723,32,JAWA BARAT,3271,KOTA BOGOR,FASHION,12213,UNIT,2018
1535,32,JAWA BARAT,3271,KOTA BOGOR,MAKANAN,14210,UNIT,2021
2103,32,JAWA BARAT,3274,KOTA CIREBON,FASHION,5763,UNIT,2023
